,DPD_TNF,err_DPD_TNF,DPD_TB,err_DPD_TB
M,-30.69579630447834,0.13361169476875934,-1.7467663938636233,0.6210503764173924
T,-20.139411645022335,0.44719008811100275,0.05027230844930051,52.995344793352494
TM,-39.83090838462331,0.009656782317442323,0.6644239216051895,0.395323501687742
TMI,-39.25647906046144,0.00966052835002648,0.4386655216923944,0.5776759525213012
TMR,-36.34751307798044,0.013567049054764233,3.4498630174515577,0.04060458021193016
TMRI,-38.30434027760321,0.0044035346660804995,3.152236392282632,0.03701981288764701
TMRS,-33.93613631443939,0.021568668836127028,2.5135568167020845,0.1289659914137817
TMR_b,-34.04158730551912,0.024160482413466647,2.6837782268193617,0.07617843311419721
TMS,-40.023468475864775,0.004134083648028265,0.9027286557878682,0.36240065827708134
TM_b,-42.321127842536825,0.05037853808688751,1.7381270555340809,0.519412336003741
UNTREAT,-42.70731890747356,0.031189853822955946,-0.32376297190688785,0.7364239578067984
